Municipio;Codice area;VIA;LOCALITA;SPECIFICA_LOCALITA;Tipo;Mese;Orario apertura;Orario chiusura;Note;Longitudine;Latitudine;Location
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;GENNAIO;7;19;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;FEBBRAIO;7;19;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;MARZO;7;20;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;APRILE;7;21;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;MAGGIO;7;22;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;GIUGNO;7;22;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;LUGLIO;7;22;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;AGOSTO;7;22;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;SETTEMBRE;7;22;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;OTTOBRE;7;21;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;NOVEMBRE;7;19;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Calcio a 7;DICEMBRE;7;19;;9.194352193;45.45328556;45.45328556, 9.194352193
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;GENNAIO;7;19;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;FEBBRAIO;7;19;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;MARZO;7;20;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;APRILE;7;21;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;MAGGIO;7;22;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;GIUGNO;7;22;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;LUGLIO;7;22;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;AGOSTO;7;22;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;SETTEMBRE;7;22;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;OTTOBRE;7;21;;9.194257082;45.45315765;45.45315765, 9.194257082
1;1082;giardino;Fallaci Oriana;area verde di via Crivelli - Quadronno;Volley;NOVEMBRE;7;19;;9.194257082;45.45315765;45.45315765, 9.194257082
