Address Recognizer;Cap;Address;Neighborhood;Sell Price;Rent Price
piazza-piemonte;20145;piazza piemonte;SACCO;5388;17
via-ravizza;20149;via ravizza;SACCO;0;0
via-marghera;20146;via marghera;SACCO;0;0
via-dei-gracchi;20146;via dei gracchi;SACCO;0;0
milano-lombardia;20149;milano lombardia;SACCO;0;0
via-luigi-sacco;20146;via luigi sacco;SACCO;0;0
via-sacco;20146;via sacco;SACCO;0;0
via-cuneo;20149;via cuneo;SACCO;0;0
piazza-riccardo-wagner;20149;piazza riccardo wagner;SACCO;0;0
via-vittoria-colonna;20149;via vittoria colonna;SACCO;5388;17
via-raffaello-sanzio;20149;via raffaello sanzio;SACCO;5388;17
viale-ergisto-bezzi;20146;viale ergisto bezzi;SACCO;4044;13.26
via-giorgio-washington;20146;via giorgio washington;SACCO;5388;17
via-antonio-cecchi;20121;via antonio cecchi;SACCO;0;0
via-michelangelo-buonarroti;20149;via michelangelo buonarroti;SACCO;5388;17
piazza-de-angeli;20100;piazza de angeli;SACCO;0;0
via-parmigianino;20146;via parmigianino;SACCO;0;0
via-federico-faruffini;20149;via federico faruffini;SACCO;0;0
viale-rubicone;20161;viale rubicone;COMASINA;0;0
via-ippocrate;20161;via ippocrate;COMASINA;0;0
via-teano;20161;via teano;COMASINA;0;0
via-comasina;20161;via comasina;COMASINA;2532;7.38
via-gerolamo-fornì;20161;via gerolamo fornì;COMASINA;0;0
via-privata-polonia;20157;via privata polonia;STEPHENSON;1517;8.82
via-privata-venezia-giulia;20157;via privata venezia giulia;STEPHENSON;2428;8.69
via-cremosano;20148;via cremosano;QT 8;0;0
via-giovanni-cimabue;20148;via giovanni cimabue;QT 8;2960;9.88
viale-achille-papa;20149;viale achille papa;QT 8;2463;8.25
piazza-cordusio;20123;piazza cordusio;ORTOMERCATO;10367;33.84
via-manfredo-camperio;20123;via manfredo camperio;ORTOMERCATO;10367;33.84
via-dante;20121;via dante;ORTOMERCATO;9309;29.17
piazza-pio-xi;20123;piazza pio xi;ORTOMERCATO;0;0
via-spadari;20123;via spadari;ORTOMERCATO;0;0
via-meravigli;20123;via meravigli;ORTOMERCATO;0;0
via-mengoni;20121;via mengoni;ORTOMERCATO;0;0
via-san-giovanni-sul-muro;20121;via san giovanni sul muro;ORTOMERCATO;8250;24.5
via-rovello;20121;via rovello;ORTOMERCATO;9900;31.39
via-moneta-a;20123;via moneta a;ORTOMERCATO;0;0
via-san-maurilio;20123;via san maurilio;ORTOMERCATO;8250;24.5
via-santa-marta;20123;via santa marta;ORTOMERCATO;8250;24.5
via-orefici;20123;via orefici;ORTOMERCATO;0;0
via-torino;20123;via torino;ORTOMERCATO;0;0
via-broletto;20121;via broletto;ORTOMERCATO;0;0
via-bernardino-luini;20123;via bernardino luini;ORTOMERCATO;0;0
piazza-dei-mercanti;20123;piazza dei mercanti;ORTOMERCATO;10367;33.84
via-santa-maria-alla-porta-a;20123;via santa maria alla porta a;ORTOMERCATO;0;0
corso-magenta;20123;corso magenta;ORTOMERCATO;;
via-tommaso-grossi;20121;via tommaso grossi;ORTOMERCATO;10367;33.84
piazza-mercanti;20123;piazza mercanti;ORTOMERCATO;0;0
via-cusani;20121;via cusani;ORTOMERCATO;0;0
via-cesare-cantù;20123;via cesare cantù;ORTOMERCATO;0;0
via-silvio-pellico;20121;via silvio pellico;ORTOMERCATO;10367;33.84
via-brisa;20123;via brisa;ORTOMERCATO;0;0
piazza-degli-affari;20123;piazza degli affari;ORTOMERCATO;0;0
piazza-del-duomo;20121;piazza del duomo;ORTOMERCATO;10367;33.84
piazza-mentana;20123;piazza mentana;ORTOMERCATO;0;0
piazza-castello;20121;piazza castello;ORTOMERCATO;8609;25.51
via-nerino;20123;via nerino;ORTOMERCATO;0;0
piazza-borromeo;20123;piazza borromeo;ORTOMERCATO;0;0
via-giuseppe-mazzini;20123;via giuseppe mazzini;ORTOMERCATO;0;0
via-clerici;20121;via clerici;ORTOMERCATO;;
via-filodrammatici;20121;via filodrammatici;ORTOMERCATO;;
via-speronari;20123;via speronari;ORTOMERCATO;10367;33.84
galleria-vittorio-emanuele-ii;20121;galleria vittorio emanuele ii;ORTOMERCATO;10367;33.84
via-circo;20123;via circo;ORTOMERCATO;8250;24.5
via-medici;20123;via medici;ORTOMERCATO;8250;24.5
piazza-della-scala;20121;piazza della scala;ORTOMERCATO;;
via-dogana;20123;via dogana;ORTOMERCATO;10367;33.84
via-giorgio-giulini;20123;via giorgio giulini;ORTOMERCATO;9309;29.17
via-ponte-vetero;20121;via ponte vetero;ORTOMERCATO;0;0
via-giacomo-puccini;20121;via giacomo puccini;ORTOMERCATO;8250;24.5
via-porlezza;20123;via porlezza;ORTOMERCATO;0;0
via-guglielmo-marconi;20122;via guglielmo marconi;ORTOMERCATO;0;0
via-valpetrosa;20123;via valpetrosa;ORTOMERCATO;8250;24.5
piazza-duomo;20121;piazza duomo;ORTOMERCATO;0;0
piazza-san-fedele;20122;piazza san fedele;ORTOMERCATO;0;0
via-gallarate;20156;via gallarate;MAGGIORE - MUSOCCO;2344;7.75
via-giorgio-stephenson;20157;via giorgio stephenson;MAGGIORE - MUSOCCO;0;0
viale-certosa;20156;viale certosa;MAGGIORE - MUSOCCO;2463;8.25
via-privata-cefalù;20151;via privata cefalù;MAGGIORE - MUSOCCO;0;0
via-sapri;20156;via sapri;MAGGIORE - MUSOCCO;0;0
via-gadames;20151;via gadames;MAGGIORE - MUSOCCO;0;0
via-barnaba-oriani;20156;via barnaba oriani;MAGGIORE - MUSOCCO;2463;8.25
via-gentile;20157;via gentile;MAGGIORE - MUSOCCO;0;0
via-quarenghi;20151;via quarenghi;MAGGIORE - MUSOCCO;0;0
via-padova;20127;via padova;PARCO LAMBRO - CIMIANO;0;0
via-benadir;20132;via benadir;PARCO LAMBRO - CIMIANO;0;0
via-meucci;20128;via meucci;PARCO LAMBRO - CIMIANO;0;0
via-feltre;20134;via feltre;PARCO LAMBRO - CIMIANO;0;0
via-palmanova;20132;via palmanova;PARCO LAMBRO - CIMIANO;2600;8.08
via-feltre-b;20132;via feltre b;PARCO LAMBRO - CIMIANO;0;0
via-cesana;20132;via cesana;PARCO LAMBRO - CIMIANO;0;0
via-traù;20159;via traù;PARCO LAMBRO - CIMIANO;0;0
via-privata-meucci;20128;via privata meucci;PARCO LAMBRO - CIMIANO;0;0
via-olgettina;20132;via olgettina;PARCO LAMBRO - CIMIANO;0;0
via-oropa;20132;via oropa;PARCO LAMBRO - CIMIANO;0;0
via-mestre;20123;via mestre;PARCO LAMBRO - CIMIANO;0;0
via-monfalcone;20132;via monfalcone;PARCO LAMBRO - CIMIANO;0;0
via-elio-adriano;20128;via elio adriano;PARCO LAMBRO - CIMIANO;0;0
viale-alcide-de-gasperi;20151;viale alcide de gasperi;GALLARATESE;2715;9
via-uruguay;20151;via uruguay;GALLARATESE;0;0
via-adolfo-omodeo;20151;via adolfo omodeo;GALLARATESE;2841;9.38
via-giacomo-quarenghi;20151;via giacomo quarenghi;GALLARATESE;0;0
via-de-gasperi;20151;via de gasperi;GALLARATESE;0;0
via-torrazza;20151;via torrazza;GALLARATESE;2225;7.25
via-antonio-gramsci;20019;via antonio gramsci;S. SIRO;6217;15.2
via-gramsci;20019;via gramsci;S. SIRO;3105;15.2
via-giuseppe-di-vittorio;20019;via giuseppe di vittorio;S. SIRO;3105;13.33
via-benedetto-varchi;20158;via benedetto varchi;GHISOLFA;0;0
via-imbriani;20158;via imbriani;GHISOLFA;0;0
via-scalvini;20158;via scalvini;GHISOLFA;0;0
via-enrico-annibale-butti;20159;via enrico annibale butti;GHISOLFA;0;0
piazzale-lugano;20158;piazzale lugano;GHISOLFA;3638;10
viale-luigi-bodio;20158;viale luigi bodio;GHISOLFA;3088;8.75
viale-edoardo-jenner;20158;viale edoardo jenner;GHISOLFA;2963;8.32
viale-lancetti;21058;viale lancetti;GHISOLFA;0;0
via-privata-catone;20158;via privata catone;GHISOLFA;0;0
via-privata-angiolo-maffucci;20158;via privata angiolo maffucci;GHISOLFA;0;0
via-maloia;20158;via maloia;GHISOLFA;0;0
via-rosa-massara-de-capitani;20158;via rosa massara de capitani;GHISOLFA;0;0
via-delle-forze-armate;20152;via delle forze armate;BAGGIO;2257;7
via-ceriani;20153;via ceriani;BAGGIO;0;0
via-bonaventura-broggini;20152;via bonaventura broggini;BAGGIO;0;0
via-forze-armate;20152;via forze armate;BAGGIO;0;0
via-cabella;20152;via cabella;BAGGIO;0;0
via-rismondo;20153;via rismondo;BAGGIO;0;0
via-francesco-rismondo;20152;via francesco rismondo;BAGGIO;0;0
via-noale;20152;via noale;BAGGIO;0;0
via-fratelli-zoia;20153;via fratelli zoia;QUARTO CAGNINO;2300;8.25
via-benjamin-constant;20153;via benjamin constant;QUARTO CAGNINO;0;0
via-lorenteggio;20152;via lorenteggio;LORENTEGGIO;2300;8.25
via-lodovico-il-moro;20142;via lodovico il moro;LORENTEGGIO;0;0
via-caboto;20094;via caboto;LORENTEGGIO;0;0
piazza-carabelli;20094;piazza carabelli;LORENTEGGIO;0;0
via-privata-mulino;20090;via privata mulino;LORENTEGGIO;0;0
via-giordani;20147;via giordani;LORENTEGGIO;2300;8.25
via-del-cardellino;20147;via del cardellino;LORENTEGGIO;2300;8.25
via-angelo-inganni;20147;via angelo inganni;LORENTEGGIO;0;0
via-molinetto-di-lorenteggio;20094;via molinetto di lorenteggio;LORENTEGGIO;0;0
via-molinetto;20147;via molinetto;LORENTEGGIO;0;0
via-anna-kuliscioff;20151;via anna kuliscioff;LORENTEGGIO;0;0
via-sebastiano-caboto;20094;via sebastiano caboto;LORENTEGGIO;0;0
via-tulipani;20146;via tulipani;GIAMBELLINO;0;0
alzaia-naviglio-grande;20144;alzaia naviglio grande;GIAMBELLINO;3505;10.58
via-savona;20146;via savona;GIAMBELLINO;2700;9.5
via-curio-dentato;20146;via curio dentato;GIAMBELLINO;2700;9.5
via-giambellino;20146;via giambellino;GIAMBELLINO;0;0
piazza-enrico-berlinguer;20144;piazza enrico berlinguer;GIAMBELLINO;0;0
viale-giulio-richard;20143;viale giulio richard;GIAMBELLINO;0;0
via-degli-zuccaro;20146;via degli zuccaro;GIAMBELLINO;2700;9.5
via-dei-biancospini;20146;via dei biancospini;GIAMBELLINO;2700;9.5
via-leone-tolstoj;20146;via leone tolstoj;GIAMBELLINO;0;0
via-redaelli;20146;via redaelli;GIAMBELLINO;0;0
via-pietro-redaelli;20146;via pietro redaelli;GIAMBELLINO;2700;9.5
largo-balestra;20146;largo balestra;GIAMBELLINO;0;0
piazza-pietro-frattini;20146;piazza pietro frattini;GIAMBELLINO;0;0
piazza-frattini;20146;piazza frattini;GIAMBELLINO;0;0
via-san-giuseppe-cottolengo;20143;via san giuseppe cottolengo;GIAMBELLINO;2563;10.25
via-tolstoj;20146;via tolstoj;GIAMBELLINO;0;0
via-francesco-brioschi;20141;via francesco brioschi;GIAMBELLINO;2750;9.25
via-tortona;20100;via tortona;S. CRISTOFORO;0;0
via-pestalozzi;20143;via pestalozzi;S. CRISTOFORO;0;0
via-carlo-troya;20144;via carlo troya;S. CRISTOFORO;0;0
via-luigi-sala;20143;via luigi sala;S. CRISTOFORO;0;0
via-solari;20144;via solari;S. CRISTOFORO;0;0
via-ludovico-il-moro;20143;via ludovico il moro;S. CRISTOFORO;0;0
piazza-napoli;20146;piazza napoli;S. CRISTOFORO;3338;10.13
ripa-di-porta-ticinese-b;20143;ripa di porta ticinese b;S. CRISTOFORO;0;0
via-stendhal;20144;via stendhal;S. CRISTOFORO;4682;13.88
via-watt;20143;via watt;S. CRISTOFORO;0;0
piazza-bolivar;20146;piazza bolivar;S. CRISTOFORO;0;0
via-elia-lombardini;20143;via elia lombardini;S. CRISTOFORO;3975;10.75
via-morimondo;20143;via morimondo;S. CRISTOFORO;0;0
via-anguissola;20144;via anguissola;S. CRISTOFORO;0;0
via-eugenio-villoresi;20143;via eugenio villoresi;S. CRISTOFORO;3975;10.75
via-giacomo-watt;20143;via giacomo watt;S. CRISTOFORO;0;0
via-delle-foppette;20144;via delle foppette;S. CRISTOFORO;3975;10.75
viale-misurata;20146;viale misurata;S. CRISTOFORO;4021;12.42
via-ambrogio-binda;20134;via ambrogio binda;S. CRISTOFORO;0;0
via-andrea-solari;20144;via andrea solari;S. CRISTOFORO;3975;10.75
viale-carlo-troya;20144;viale carlo troya;S. CRISTOFORO;3338;10.13
via-washington;20146;via washington;S. CRISTOFORO;0;0
viale-cassala;20143;viale cassala;S. CRISTOFORO;3269;10.5
via-degli-alpini;20090;via degli alpini;RONCHETTO SUL NAVIGLIO;2940;11.86
via-carlo-baravalle;20142;via carlo baravalle;TIBALDI;0;0
via-meda;20143;via meda;TIBALDI;0;0
via-giuseppe-meda;20136;via giuseppe meda;TIBALDI;0;0
largo-mahler;20136;largo mahler;TIBALDI;0;0
via-conchetta;20136;via conchetta;TIBALDI;3875;10.75
via-evangelista-torricelli;20136;via evangelista torricelli;TIBALDI;3313;10
piazza-caduti-sul-lavoro;20141;piazza caduti sul lavoro;TIBALDI;0;0
via-bonghi;20141;via bonghi;TIBALDI;2750;9.25
via-giovanni-pezzotti;20141;via giovanni pezzotti;TIBALDI;2750;9.25
corso-san-gottardo;20136;corso san gottardo;TIBALDI;0;0
via-torricelli;20136;via torricelli;TIBALDI;0;0
via-ruggero-bonghi;20141;via ruggero bonghi;TIBALDI;0;0
viale-tibaldi;20136;viale tibaldi;TIBALDI;3313;10
via-cardinale-ascanio-sforza;20141;via cardinale ascanio sforza;TIBALDI;0;0
via-tabacchi;20136;via tabacchi;TIBALDI;0;0
via-pietro-pomponazzi;20141;via pietro pomponazzi;TIBALDI;2750;9.25
via-brioschi;20136;via brioschi;TIBALDI;0;0
via-cristina-belgioioso;20156;via cristina belgioioso;CASCINA TRIULZA - EXPO;2685;14.7
expo-milano;20157;expo milano;CASCINA TRIULZA - EXPO;2948;13.9
via-aquileia;20021;via aquileia;CASCINA TRIULZA - EXPO;0;0
via-carlo-amoretti;20157;via carlo amoretti;QUARTO OGGIARO;0;0
via-sabatini-lopez;20157;via sabatini lopez;QUARTO OGGIARO;0;0
via-bovisasca;20026;via bovisasca;QUARTO OGGIARO;0;0
via-trilussa;20157;via trilussa;QUARTO OGGIARO;0;0
via-privata-trilussa;20157;via privata trilussa;QUARTO OGGIARO;0;0
via-graf;20157;via graf;QUARTO OGGIARO;0;0
via-amoretti;20026;via amoretti;QUARTO OGGIARO;0;0
via-antonio-aldini;20157;via antonio aldini;QUARTO OGGIARO;2063;6.5
via-carlo-perini;20157;via carlo perini;QUARTO OGGIARO;2063;6.5
