PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SI-SCIA;Realizzazione pensilina a copertura balcone;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-06-03T00:00:00.000+02:00;2022-06-03T00:00:00.000+02:00;VIA SARZANA N.  24  PIANO 4;9.19380518567;45.5019109806;45.5019109806, 9.19380518567
SI-SCIA;Realizzazione soppalco e modifiche in facciata;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-06-03T00:00:00.000+02:00;2022-06-03T00:00:00.000+02:00;VIA GIOVANNI DA MILAN N.  17;9.22555558318;45.4697534761;45.4697534761, 9.22555558318
SCIA alternativa a PDC;V.LE BRENTA 35 - recupero sottotetto;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-06-02T00:00:00.000+02:00;2022-06-02T00:00:00.000+02:00;VLE BRENTA N.  35 PIANO 2-3;9.21776306194;45.4421641571;45.4421641571, 9.21776306194
SI-SCIA;Lievi modifiche interne e modifiche esterne in edificio ad uso prevalentemente  residenziale;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-06-02T00:00:00.000+02:00;2022-06-02T00:00:00.000+02:00;VIA MAIOCCHI ACHILLE N.  10;9.2127069259;45.4749916235;45.4749916235, 9.2127069259
SI-SCIA;diversa distribuzione degli spazi interni con sostituzione di parti strutturali;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-06-02T00:00:00.000+02:00;2022-06-02T00:00:00.000+02:00;VIA PORPORA NICOLA AN N.  161  PIANO 5;9.23229364038;45.486208461;45.486208461, 9.23229364038
SI-SCIA a sportello;SCIA IN VARIANTE SCIA RIF. W.F. 36633/18;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-06-02T00:00:00.000+02:00;2022-06-02T00:00:00.000+02:00;VIA CARMAGNOLA N.  9  PIANO T -1;9.18686795394;45.487001841;45.487001841, 9.18686795394
SCIA;OPERE DI RIPRISTINO DI PORTA VETRATA DI ACCESSO IN FINESTRA;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2019-06-02T00:00:00.000+02:00;2022-06-02T00:00:00.000+02:00;VIA DE CASTILLIA GAET N.  10;9.18973974412;45.4853726265;45.4853726265, 9.18973974412
comunicazione inizio attività edilizia libera;VIA MEUCCI 25 - Opere di manutenzione straordinaria, con frazionamento unita residenziale.  piano terra***(unito C.U.  - WF 30186/18)***;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-06-01T00:00:00.000+02:00;2022-06-01T00:00:00.000+02:00;VIA MEUCCI ANTONIO N.  25 PIANO t;9.24498670729;45.5092507507;45.5092507507, 9.24498670729
SCIA alternativa a PDC;Recupero di seminterrato ai sensi della L.R. n.7/2017;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2019-06-01T00:00:00.000+02:00;2022-06-01T00:00:00.000+02:00;VIA VIGEVANO N.  41;9.1711689195;45.4530399827;45.4530399827, 9.1711689195
SCIA;SCIA A VARIANTE SCIA RIF. W.F. 19902/18 - V.  Daniele Crespi,1;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2019-06-01T00:00:00.000+02:00;2022-06-01T00:00:00.000+02:00;VIA CRESPI DANIELE N.  1;9.17531246583;45.4579823513;45.4579823513, 9.17531246583
comunicazione inizio attività edilizia libera;modifiche interne e modifica serramento;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-05-30T00:00:00.000+02:00;2022-05-30T00:00:00.000+02:00;VIA VESPUCCI AMERIGO N.  1  PIANO TERZO;9.19265020144;45.4805218841;45.4805218841, 9.19265020144
autorizzazione;pdc alternativo a scia per ripristino h. locali conforme a CE;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2019-05-21T00:00:00.000+02:00;2023-05-21T00:00:00.000+02:00;VIALE SARCA N.  173  PIANO -1;9.20842318369;45.5154977008;45.5154977008, 9.20842318369
comunicazione inizio attività edilizia libera;Cila con cambio di destinazione d'uso da laboratorio ad ufficio ed opere  interne;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);2019-05-18T00:00:00.000+02:00;2022-05-18T00:00:00.000+02:00;VIA IMBONATI CARLO N.  3;9.184308914;45.4984580304;45.4984580304, 9.184308914
SCIA alternativa a PDC;RECUPERO AI FINI ABITATIVI DI SOTTOTETTO ESISTENTE;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-05-18T00:00:00.000+02:00;2022-05-18T00:00:00.000+02:00;VLE BRENTA N.  35;9.21776306194;45.4421641571;45.4421641571, 9.21776306194
SCIA alternativa a PDC;Recupero sottotetto;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2019-05-18T00:00:00.000+02:00;2022-05-18T00:00:00.000+02:00;VLE BRENTA N.  35  PIANO 3;9.21776306194;45.4421641571;45.4421641571, 9.21776306194
