,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Postal Code,Address,Venue Category
0,SACCO,45.4646,9.15280000000007,Teatro Nazionale,45.466735509424744,9.153980245804673,20145,Piazza Piemonte 12,Theater
1,SACCO,45.4646,9.15280000000007,Nove25,45.46740888840206,9.152414331179585,20149,Via Ravizza 3,Jewelry Store
2,SACCO,45.4646,9.15280000000007,Ristorante Casa Lucia,45.46748326545991,9.152843668117395,20149,Via Ravizza 2,Italian Restaurant
3,SACCO,45.4646,9.15280000000007,Orea Malià,45.46768715672518,9.153119751279863,20146,"via Marghera, 18 (cortile interno) (via Ravizza)",Salon / Barbershop
4,SACCO,45.4646,9.15280000000007,Koalasport,45.463437119449196,9.149064928227794,20146,"Via Dei Gracchi, 26",Sporting Goods Shop
5,SACCO,45.4646,9.15280000000007,Ciacco - Gelato Senz'altro,45.467182,9.153124,20149,20149 Milano Lombardia,Ice Cream Shop
6,SACCO,45.4646,9.15280000000007,Trapizzino,45.46748309427265,9.15407363750369,20149,Via Marghera 12,Sandwich Place
7,SACCO,45.4646,9.15280000000007,BA Asian Mood,45.46812159381247,9.15181656181125,20149,Via Ravizza 10,Asian Restaurant
8,SACCO,45.4646,9.15280000000007,GetFIT,45.46769137853925,9.152795964761568,-1,"Via Ravizza, 4 (Via Marghera)",Gym / Fitness Center
9,SACCO,45.4646,9.15280000000007,Piazza Piemonte,45.46662645207867,9.155246796008504,-1,Piazza Piemonte,Plaza
10,SACCO,45.4646,9.15280000000007,Gallura,45.46718537017123,9.14849897303368,-1,Via colonna 50,Seafood Restaurant
11,SACCO,45.4646,9.15280000000007,La Feltrinelli,45.46696299071805,9.155758082990722,20100,Piazza Piemonte 2,Bookstore
12,SACCO,45.4646,9.15280000000007,MamaEster,45.46552333169879,9.151754664898403,20146,"Via Luigi Sacco, 9",Bistro
13,SACCO,45.4646,9.15280000000007,Gelateria Marghera,45.4670099900443,9.152487896674286,20149,Via Marghera 33,Ice Cream Shop
14,SACCO,45.4646,9.15280000000007,Happy Days,45.466871699295396,9.152037014208762,-1,Via Marghera 24,Pizza Place
15,SACCO,45.4646,9.15280000000007,Caffetteria Ronchi,45.46587087044666,9.151240266979363,20146,Via Sacco 5,Café
16,SACCO,45.4646,9.15280000000007,Pasticceria Moriondo,45.467559200809355,9.154457673658785,20149,Via Marghera 10,Pastry Shop
17,SACCO,45.4646,9.15280000000007,OVS,45.46735798169722,9.154036511266694,20149,Via Cuneo 2,Clothing Store
