,Neighborhood,Is Culture bin,Is Food bin,Is Helth and Care bin,Is Restaurant bin,Is Shopping bin,Is Spare time bin,Is Sport bin,Is Nightlife bin,Sell Price,Buildings Sites,Culture Cluster,Shopping Cluster,Restaurant Cluster,Sport Cluster,Spare time Cluster
0,ADRIANO,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Supermarket,Turkish cuisine,Sport based shops,Hotels and wine bar
1,AFFORI,Low,Low,Low,Low,Low,Medium,Low,Low,Very low,Medium,Other,Supermarket and Hardware shop,Asian cuisine,Fields and pools prevalence,Hotels and wine bar
2,BAGGIO,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Supermarket and Hardware shop,Turkish cuisine,Other,General entertainment
3,BANDE NERE,Low,Medium,Low,Medium,Low,Medium,Medium,Low,Very low,Low,Prevalence of Art gallery,Supermarket and Hardware shop,Asian cuisine,Sport based shops,Hotels and wine bar
4,BARONA,Low,Low,Low,Low,Low,Low,Medium,Low,Very low,Low,Theater and cinemas,Other,Asian cuisine,Fields and pools prevalence,General entertainment
5,BICOCCA,Low,Medium,Low,Low,Low,Low,Medium,Low,Very low,Medium,Prevalence of Art gallery,Supermarket,American cuisine and burgers,Gyms prevalence,Hotels and wine bar
6,BOVISA,Low,Medium,Low,Low,Low,Low,Low,Low,Very low,Low,Museum prevalence,Supermarket,Turkish cuisine,Sport based shops,Hotels and wine bar
7,BOVISASCA,Low,Low,High,Low,High,Low,Low,Low,Very low,Low,Prevalence of Art gallery,Supermarket,Turkish cuisine,Fields and pools prevalence,General entertainment
8,BRERA,High,Medium,High,Medium,Medium,High,Low,Medium,High,Medium,Museum prevalence,Supermarket,Asian cuisine,Other,Hotels and wine bar
9,BRUZZANO,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Museum prevalence,Turkish cuisine,Gyms prevalence,Other
10,BUENOS AIRES - VENEZIA,Low,High,Low,High,Low,Medium,Low,Low,Low,High,Museum prevalence,Supermarket,Asian cuisine,Gyms prevalence,Hotels and wine bar
11,CANTALUPA,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Other,Turkish cuisine,Other,Hotels and wine bar
12,CASCINA TRIULZA - EXPO,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Theater and cinemas,Other,American cuisine and burgers,Other,Hotels and wine bar
13,CENTRALE,Low,High,Low,Medium,Low,High,Low,Low,Low,High,Museum prevalence,Supermarket,Asian cuisine,Gyms prevalence,Hotels and wine bar
14,CHIARAVALLE,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Supermarket,Turkish cuisine,Other,General entertainment
15,CITTA' STUDI,Low,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Theater and cinemas,Supermarket and Hardware shop,Asian cuisine,Gyms prevalence,Hotels and wine bar
16,COMASINA,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Other,Supermarket and Hardware shop,American cuisine and burgers,Other,General entertainment
17,CORSICA,Low,Medium,Low,Low,Low,Medium,Medium,Low,Very low,Medium,Prevalence of Art gallery,Museum prevalence,Asian cuisine,Gyms prevalence,Hotels and wine bar
18,DE ANGELI - MONTE ROSA,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Other,Supermarket and Hardware shop,Asian cuisine,Fields and pools prevalence,Hotels and wine bar
19,DERGANO,Low,Low,Low,Low,Low,Low,Low,Low,Very low,Low,Prevalence of Art gallery,Supermarket,Asian cuisine,Fields and pools prevalence,Hotels and wine bar
