TIPOINTERVENTO;Tipo intervento;LONGITUDINE;LATITUDINE
SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );Manutenzione straordinaria;9.19380518567;45.5019109806
SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );Manutenzione straordinaria;9.22555558318;45.4697534761
SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);Variazione interna o esterna;9.21776306194;45.4421641571
SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );Manutenzione straordinaria;9.2127069259;45.4749916235
SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );Manutenzione straordinaria;9.23229364038;45.486208461
SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);Variazione interna o esterna;9.18686795394;45.487001841
SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );Manutenzione straordinaria;9.18973974412;45.4853726265
CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);Manutenzione straordinaria;9.24498670729;45.5092507507
SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;Altro;9.1711689195;45.4530399827
SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);Variazione interna o esterna;9.17531246583;45.4579823513
CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222) (3);Manutenzione straordinaria;9.19265020144;45.4805218841
