,name,lat,lng,AreaMQ,Radius,BusStops,BusStops per KM2,BusStops Normalized,Building sites,District,Sell Price,Rent Price,Culture Cluster,Shopping Cluster,Restaurant Cluster,Health and Care Cluster,Sport Cluster,Food Cluster,Spare time Cluster
0,SACCO,45.4646,9.15280000000007,708465.80062,0.4748806885528831,31,4.3756522859495764e-05,0.6340822427629302,18,7^ Municipio,5164.0,16.37666666666667,Street Art and Movie Theater,Gift shops,Turkish and Spanish,3.0,Goods,Ice creams and Coffee shops,Nightlife
1,COMASINA,45.5264,9.159899999999993,926734.56254,0.5431286892852305,59,6.366440012584879e-05,0.9225702358841402,6,9^ Municipio,2532.0,7.38,Other,Supermarkets,Pizza and Turkish,,Other,Italian food,"Parks, clubs and strip club"
2,STEPHENSON,45.512744072697494,9.114172091008415,560097.89287,0.4222377251397969,1,1.7854021818862695e-06,0.025872527014074553,2,8^ Municipio,1972.5,8.754999999999999,Other,Other,Other,1.0,Other,Italian food,Tourist accomodations and nighlife
3,QT 8,45.48603000000003,9.138410000000022,1024437.42191,0.5710416439898127,19,1.854676488152461e-05,0.26876391229340474,8,8^ Municipio,2711.5,9.065000000000001,Other,Other,South Americans,2.0,Courts,Healthy food,"Parks, clubs and strip club"
4,ORTOMERCATO,45.46509000000003,9.183900000000051,1402519.6493,0.6681585664639891,91,6.488322644564607e-05,0.9402324283046203,63,4^ Municipio,9409.0,29.565000000000005,Prevalence of Museums and Theater,Domestic neighborhoods,Turkish and Spanish,0.0,Goods,Coffee shops and groceries,Tourist accomodations and nighlife
5,MAGGIORE - MUSOCCO,45.50415000000004,9.12146000000007,3030188.71046,0.9821094763527792,44,1.4520547795625753e-05,0.21041940516986504,15,8^ Municipio,2423.3333333333335,8.083333333333334,Street Art and Movie Theater,Supermarkets,Italian and Asian,3.0,Gyms,Ice creams and Coffee shops,Tourist accomodations and nighlife
6,PARCO LAMBRO - CIMIANO,45.50070000000005,9.247540000000072,4971969.50094,1.2580250577605718,37,7.4417190195967185e-06,0.10783905067386834,5,3^ Municipio,2600.0,8.08,Prevalence of Museums and Theater,Gift shops,Turkish and Spanish,,Gyms,Italian food,Tourist accomodations and nighlife
7,GALLARATESE,45.496710000000064,9.114840000000072,3894538.2072,1.1134046943821714,72,1.848742936117317e-05,0.26790407249441617,10,8^ Municipio,2593.6666666666665,8.543333333333335,Prevalence of Museums and Theater,Supermarkets,Italian and Asian,,Gyms,Italian food,Nightlife
8,S. SIRO,45.48801350349509,9.068805197988418,3435307.37068,1.0457018208684004,10,2.9109476739545887e-06,0.042182973167076074,0,7^ Municipio,4142.333333333333,14.576666666666666,Other,Gift shops,Italian and Asian,,Gyms,Italian food,"Parks, clubs and strip club"
9,GHISOLFA,45.49631000000005,9.169400000000053,1051452.20506,0.5785219371124524,15,1.426598368220079e-05,0.2067304789614054,36,8^ Municipio,3229.6666666666665,9.023333333333333,Other,Gift shops,Turkish and Spanish,,Stadium and Pools,Ice creams and Coffee shops,Tourist accomodations and nighlife
10,BAGGIO,45.46324000000004,9.092700000000036,3478599.95683,1.0522702867312639,81,2.328522997907876e-05,0.3374297106695426,13,7^ Municipio,2257.0,7.0,Other,Supermarkets,Pizza and Turkish,,Other,Italian food,"Parks, clubs and strip club"
11,QUARTO CAGNINO,45.46867000000003,9.111430000000041,986391.48235,0.5603375415582014,29,2.9400091666353188e-05,0.4260410755465543,9,7^ Municipio,2300.0,8.25,Street Art and Movie Theater,Other,Pizza and Turkish,,Gyms,Healthy food,Other
12,LORENTEGGIO,45.443610000000035,9.123010000000022,2635327.10001,0.9158879130446271,67,2.5423788948152112e-05,0.36841988490585154,3,6^ Municipio,2300.0,8.25,Other,Gift shops,Italian and Asian,,Gyms,Italian food,"Parks, clubs and strip club"
13,GIAMBELLINO,45.44831000000005,9.142860000000042,1965274.21243,0.7909274371764657,55,2.7985916495588786e-05,0.40554805404168526,13,6^ Municipio,2789.75,9.6975,Street Art and Movie Theater,Gift shops,Turkish and Spanish,3.0,Stadium and Pools,Coffee shops and groceries,"Parks, clubs and strip club"
14,S. CRISTOFORO,45.45,9.155399999999986,1596174.13943,0.7127959095361542,38,2.380692623774117e-05,0.34498968829381355,19,6^ Municipio,3838.6666666666665,11.117777777777778,Prevalence of Museums and Theater,Clothing shops,Turkish and Spanish,,Stadium and Pools,Ice creams and Coffee shops,Nightlife
15,RONCHETTO SUL NAVIGLIO,45.438090000000045,9.128310000000056,2406775.20289,0.8752715812260132,31,1.2880305548592955e-05,0.18665041223565249,4,6^ Municipio,2940.0,11.86,Other,Gift shops,Italian and Asian,,Gyms,Other,"Parks, clubs and strip club"
16,TIBALDI,45.44391759055627,9.18210230185423,786214.30721,0.5002597191900253,27,3.434178156311295e-05,0.49765183453757283,37,5^ Municipio,3125.1666666666665,9.75,Prevalence of Museums and Theater,Supermarkets,Italian and Asian,,Other,Ice creams and Coffee shops,Nightlife
17,CASCINA TRIULZA - EXPO,45.5202,9.102700000000027,1729126.8979,0.7418882571303309,1,5.783265538315816e-07,0.00838061560513841,0,8^ Municipio,2816.5,14.3,Street Art and Movie Theater,Other,Turkish and Spanish,,Other,Italian food,Nightlife
18,QUARTO OGGIARO,45.51674000000003,9.140900000000045,2778263.74536,0.9403982223367362,30,1.0798110888537214e-05,0.15647702153555892,8,8^ Municipio,2063.0,6.5,Prevalence of Museums and Theater,Clothing shops,Pizza and Turkish,0.0,Gyms,Coffee shops and groceries,"Parks, clubs and strip club"
19,AFFORI,45.51410000000004,9.173530000000028,2070893.64846,0.8119026552118411,30,1.4486499595142999e-05,0.20992600766217295,49,9^ Municipio,2532.0,7.38,Prevalence of Museums and Theater,Supermarkets,Pizza and Turkish,,Gyms,Italian food,Nightlife
20,PADOVA,45.5016,9.234199999999987,2061945.49795,0.810146676083809,52,2.521890130059148e-05,0.3654508277095832,50,2^ Municipio,2424.0,16.27,Other,Gift shops,Turkish and Spanish,1.0,Gyms,Coffee shops and groceries,Nightlife
21,EX OM - MORIVIONE,45.440990000000056,9.18781000000007,817976.68499,0.510264701405223,11,1.3447816058638001e-05,0.19487429095097883,8,5^ Municipio,2750.0,9.25,Street Art and Movie Theater,Supermarkets,Pizza and Turkish,,Gyms,Italian food,Nightlife
22,ADRIANO,45.5097,9.24739999999997,2431560.10856,0.8797667994444774,80,3.290068780054834e-05,0.47676873173864154,28,2^ Municipio,2450.0,7.75,Other,Gift shops,Turkish and Spanish,,Goods,Italian food,Tourist accomodations and nighlife
23,FARINI,45.4833,9.181600000000003,1010230.89022,0.5670683201213745,48,4.7513890601332676e-05,0.6885308142885812,56,8^ Municipio,4364.5,12.84375,Prevalence of Museums and Theater,Clothing shops,Italian and Asian,,Stadium and Pools,Ice creams and Coffee shops,Tourist accomodations and nighlife
